userName,score,at,content
Asbak Rokok16batang,5,2024-10-09 13:15:24,Sangat bagus
Pengguna Google,1,2024-10-09 11:35:01,Saat verifikasi foto selalu gagal
Kiwil Lego,1,2024-10-09 10:34:49,Gak ada guna ny yg berguna tetep kartu ktp ny yg asli . Mau nyetak ktp ajh lama ny nauzubilah badahal orng lagi butuh bangat tuh sama kartu ny .
2Dara Network,3,2024-10-09 10:07:42,"Aplikasi belum siap kali, pada auto replay untuk regrestrasi suruh VC ke salah satu nomer untuk dapat QR, tapi berdireng tanpa direspon, apa gunanya aplikasi online kalau untuk dapat QR harus datang ke kantor????"
Romli R,1,2024-10-09 09:30:02,Kocak
Pengguna Google,1,2024-10-09 08:55:58,barcode???????.......
Pengguna Google,1,2024-10-09 08:37:48,Aplikasi sampah mau buka rek bank malah pihak bank tidak bisa scan.... Katanya dipermudah taiii.. Minta fisiknya katanya tidak ada anjinggg
Isna Yuliansi,5,2024-10-09 07:51:49,Sangat membantu
Pengguna Google,5,2024-10-09 07:50:38,sangat membantu
Pengguna Google,1,2024-10-09 07:42:26,Apk gajelas buang2waktu
Pengguna Google,5,2024-10-09 07:35:40,Bagus
Agus Suteja,5,2024-10-09 06:38:38,Praktis banget
Irmayani Ibrahim,1,2024-10-09 05:21:04,Gak usah online ya klo masih harus ke dukcapil minta barcode...
Pengguna Google,1,2024-10-09 04:20:27,"Bintang 1 dulu...tambah fitur dowloadnya donk...masa punya ktp n kk digital ga bisa di download, jangankan downlod Ss pun ga bisa buat apa coba? paling ngga ada lah fiturnya simpan ke galeri....salam ngapak Ambal kebumen"
Ridwan Qwonk,1,2024-10-09 04:09:17,Kalau lupa pin tidak bisa dibuka dan harus instal ulang
Pengguna Google,5,2024-10-09 03:27:07,Sangat mengesankan
Pengguna Google,5,2024-10-09 02:51:05,Mantapp
Pengguna Google,1,2024-10-09 02:49:31,"Aplikasi itu harusnya memudahkan bukan malah mempersulit, cuma mau cetak ulang kk masak hrs ke dikdukcapil ???"
Pengguna Google,1,2024-10-09 02:42:14,Kalo blm siap buat aplikasi online itu kaga usah gegayaan online aplikasi tidak bisa di buka sering bug hadeee pemerintah konoha
Pengguna Google,5,2024-10-09 01:55:02,Jossssssssss top markitop
Semut angler,1,2024-10-09 01:46:06,"kalo ada aplikasi ini kenapa harus ke dukcapil bosss, hahahah paraaahh!!!"
Pengguna Google,1,2024-10-09 01:41:50,"Jangan buang waktumu untuk download aplikasi ini, useless"
Pengguna Google,5,2024-10-08 22:55:44,Sudah maksimal
Pengguna Google,5,2024-10-08 20:30:40,Ok
Pengguna Google,1,2024-10-08 17:02:31,Kenapa tidak bisa buka
Pengguna Google,1,2024-10-08 16:06:09,"Aplikasi ngampas tidak berguna, pindah hp gk bisa login, malah suruh daftar lagi, dana dari pajak rakyat habis buat aplikasi abal²"
Pengguna Google,1,2024-10-08 14:57:02,Negara ribet apa apa di ribetin mau modern tapi sistem lawas
Pengguna Google,5,2024-10-08 14:54:13,Semoga UU dan Permen nya dibuatkan dan diterbitkan demi kemajuan Bangsa.
Pengguna Google,3,2024-10-08 13:41:13,Juwal beli garam
Pengguna Google,1,2024-10-08 12:39:34,Tadinya Mau simpel bin praktis online lah ceritanyya... Tadi nya dikira ga perlu lg ke kantor disdukcapil... Lah ini mah sama aja mesti offline dulu ke sono... * 1 aja dulu... Belom sesuai expektasi nya terimakasih
Pengguna Google,1,2024-10-08 11:19:30,Tidak berguna
Pengguna Google,1,2024-10-08 10:46:18,Aplikasi yang paling gak berguna
Pengguna Google,3,2024-10-08 09:50:21,Belum terintegrasi dengan PTSP
Pengguna Google,1,2024-10-08 09:38:06,Aplikasi macam apa ini
Pengguna Google,2,2024-10-08 09:30:02,"Bilang nya digital dan sudah modern tapi masih harus kembali ke Dukcapil minta barcode setelah rekam wajah, mau heran tapi ini Indonesia, kan sdh jelas NIK nya tinggal pencocokan saja sebenarnya, klo bisa dipersulit kenapa harus dipermudah 😁"
Pengguna Google,1,2024-10-08 08:19:43,Aplikasi yang sangat membantu membuat pusing
Pengguna Google,1,2024-10-08 04:25:44,"KALO MAU SECARA ONLINE JANGAN TANGGUNG SEDIAKAN JUGA BUAT KITA DOWNLOAD BIAR BISA CETAK SENDIRI !! NUNGGU BLANKO AJA UDAH KAYA NUNGGU DAJJAL KELUAR, LAMAAAA"
Pengguna Google,5,2024-10-08 04:10:36,Sangat bagus
Pengguna Google,1,2024-10-08 04:05:01,TUJUAN PEMBUATAN Aplikasi ini apa ya..? Ingin MEMPERMUDAH Masyarakat atau hanya sekedar untuk PENGELUARAN NEGARA buat dikorup? Kalau harus ke CAPIL lagi jd untuk apa ini dibuat sama aja harus mengeluarkan biaya lagi buat ke CAPIL. SEMENTARA harapan kami masyarakat dengan adanya Apk ini bisa mempermudah kami para PERANTAU yg ga harus bolak-balik ke CAPIL daerah tempat kami tinggal Membagongkan
Pengguna Google,1,2024-10-08 03:46:12,Ribet.. DigitaL tp harus tetep ke dukcapiL
Pengguna Google,2,2024-10-08 03:43:40,Masih banyak yg kurang
Pengguna Google,1,2024-10-08 03:40:57,"Aplikasi sampah, download kk gabisa, tiap menu password n captcha, biar terkesan secure gitu?"
Pengguna Google,5,2024-10-08 03:15:36,Aplikasi yang baik
Pengguna Google,5,2024-10-08 03:14:21,"Bagus bgt pelayanan nya, cepet bgt prosesnya, petugasnya ramah2"
Pengguna Google,5,2024-10-08 03:01:13,Mudah cepat
Pengguna Google,2,2024-10-08 02:32:29,Cara mendapatkan kode QR secara online di KTP digital.
Pengguna Google,1,2024-10-08 02:23:46,"apaan mau unduh soft file kk sendiri aja gabisa langsung, tutup aja aplikasinya"
Pengguna Google,1,2024-10-08 01:25:30,"Ini gimana sih,masa baru aja download udah disuruh masukin PIN,pas masukin asal malah dibilang PIN TIDAK SESUAI"
Pengguna Google,1,2024-10-08 00:48:49,G ada kemajuan.. Ni gimana mau login nulisnya captcha aja eror terus.. Mau nulis huruf trs angka jadi hilang hurufnya.. Ga bakalan bs masuk min.. Perbaiki dong.. Dana besar aplikasi kok asal asalan..
Pengguna Google,1,2024-10-08 00:02:03,"Yang ada semua nya hanya bikin mudzorot Rekomendasi kok begini ,,di tanya token persetujuan (invailid) di ulangi apa apa diam ,,,habis habisin waktu operator pada tidur semua nya"
Pengguna Google,5,2024-10-07 23:18:34,"kemana pun kita pergi tidak terlalu khawatir jika lupa tidak membawa I'd kard,cukup membantu"
ronni hrs,1,2024-10-07 16:47:58,Masih ribet
Pengguna Google,1,2024-10-07 16:40:43,"serius sekelas kementrian, aplikasinya kayak gini?"
Pengguna Google,5,2024-10-07 15:57:54,Modernisasi data kependudukan...sangat membantu
Pengguna Google,1,2024-10-07 11:22:51,"Mempermudah pelayanan,bukan malah mempersulit"
Pengguna Google,5,2024-10-07 10:23:08,Dgn apl ini kita akan dipermudah dalam pengurusan kependudukan
